filename log/doomrnn.cma.16.24.best.json
model size 1088
making real doom environment
2018-07-21 03:58:55.665311: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
model using cpu
input dropout mode = False
output dropout mode = False
recurrent dropout mode = False
GLib-GIO-Message: 03:59:01.445: Using the 'memory' GSettings backend.  Your settings will not be saved or shared with other applications.
loading file log/doomrnn.cma.16.24.best.json
iteration 0 reward 104.0
iteration 1 reward 329.0
iteration 2 reward 1051.0
iteration 3 reward 2100.0
iteration 4 reward 260.0
iteration 5 reward 1286.0
iteration 6 reward 1542.0
iteration 7 reward 1047.0
iteration 8 reward 575.0
iteration 9 reward 1906.0
iteration 10 reward 601.0
iteration 11 reward 1315.0
iteration 12 reward 511.0
iteration 13 reward 339.0
iteration 14 reward 1173.0
iteration 15 reward 469.0
iteration 16 reward 931.0
iteration 17 reward 1324.0
iteration 18 reward 689.0
iteration 19 reward 1283.0
iteration 20 reward 344.0
iteration 21 reward 827.0
iteration 22 reward 1294.0
iteration 23 reward 1544.0
iteration 24 reward 571.0
iteration 25 reward 1409.0
iteration 26 reward 823.0
iteration 27 reward 215.0
iteration 28 reward 1754.0
iteration 29 reward 482.0
iteration 30 reward 342.0
iteration 31 reward 593.0
iteration 32 reward 217.0
iteration 33 reward 1883.0
iteration 34 reward 342.0
iteration 35 reward 107.0
iteration 36 reward 720.0
iteration 37 reward 1201.0
iteration 38 reward 585.0
iteration 39 reward 465.0
iteration 40 reward 580.0
iteration 41 reward 1763.0
iteration 42 reward 1141.0
iteration 43 reward 2100.0
iteration 44 reward 1785.0
iteration 45 reward 798.0
iteration 46 reward 227.0
iteration 47 reward 945.0
iteration 48 reward 1536.0
iteration 49 reward 460.0
iteration 50 reward 103.0
iteration 51 reward 347.0
iteration 52 reward 1297.0
iteration 53 reward 1284.0
iteration 54 reward 1533.0
iteration 55 reward 1186.0
iteration 56 reward 231.0
iteration 57 reward 942.0
iteration 58 reward 2100.0
iteration 59 reward 449.0
iteration 60 reward 821.0
iteration 61 reward 106.0
iteration 62 reward 595.0
iteration 63 reward 1189.0
iteration 64 reward 343.0
iteration 65 reward 598.0
iteration 66 reward 1522.0
iteration 67 reward 584.0
iteration 68 reward 1544.0
iteration 69 reward 628.0
iteration 70 reward 1783.0
iteration 71 reward 1675.0
iteration 72 reward 104.0
iteration 73 reward 218.0
iteration 74 reward 943.0
iteration 75 reward 460.0
iteration 76 reward 1882.0
iteration 77 reward 464.0
iteration 78 reward 716.0
iteration 79 reward 818.0
iteration 80 reward 463.0
iteration 81 reward 334.0
iteration 82 reward 2100.0
iteration 83 reward 336.0
iteration 84 reward 814.0
iteration 85 reward 570.0
iteration 86 reward 340.0
iteration 87 reward 107.0
iteration 88 reward 571.0
iteration 89 reward 1419.0
iteration 90 reward 935.0
iteration 91 reward 448.0
iteration 92 reward 477.0
iteration 93 reward 1325.0
iteration 94 reward 220.0
iteration 95 reward 1419.0
iteration 96 reward 587.0
iteration 97 reward 1060.0
iteration 98 reward 1055.0
iteration 99 reward 1307.0
seed 2872 average_reward 882.4 stdev 557.4149441843123
