filename log/doomrnn.cma.16.24.best.json
model size 1088
making real doom environment
model using cpu
input dropout mode = False
output dropout mode = False
recurrent dropout mode = False
loading file log/doomrnn.cma.16.24.best.json
iteration 0 reward 986.0
iteration 1 reward 467.0
iteration 2 reward 218.0
iteration 3 reward 1596.0
iteration 4 reward 2100.0
iteration 5 reward 1278.0
iteration 6 reward 354.0
iteration 7 reward 222.0
iteration 8 reward 702.0
iteration 9 reward 220.0
iteration 10 reward 607.0
iteration 11 reward 927.0
iteration 12 reward 823.0
iteration 13 reward 104.0
iteration 14 reward 861.0
iteration 15 reward 834.0
iteration 16 reward 104.0
iteration 17 reward 466.0
iteration 18 reward 568.0
iteration 19 reward 213.0
iteration 20 reward 1685.0
iteration 21 reward 331.0
iteration 22 reward 222.0
iteration 23 reward 222.0
iteration 24 reward 688.0
iteration 25 reward 1643.0
iteration 26 reward 1049.0
iteration 27 reward 829.0
iteration 28 reward 700.0
iteration 29 reward 681.0
iteration 30 reward 589.0
iteration 31 reward 463.0
iteration 32 reward 223.0
iteration 33 reward 480.0
iteration 34 reward 591.0
iteration 35 reward 573.0
iteration 36 reward 572.0
iteration 37 reward 476.0
iteration 38 reward 821.0
iteration 39 reward 2000.0
iteration 40 reward 593.0
iteration 41 reward 573.0
iteration 42 reward 348.0
iteration 43 reward 103.0
iteration 44 reward 112.0
iteration 45 reward 603.0
iteration 46 reward 838.0
iteration 47 reward 1179.0
iteration 48 reward 1433.0
iteration 49 reward 804.0
iteration 50 reward 352.0
iteration 51 reward 928.0
iteration 52 reward 700.0
iteration 53 reward 819.0
iteration 54 reward 1033.0
iteration 55 reward 213.0
iteration 56 reward 359.0
iteration 57 reward 231.0
iteration 58 reward 333.0
iteration 59 reward 1985.0
iteration 60 reward 865.0
iteration 61 reward 337.0
iteration 62 reward 334.0
iteration 63 reward 461.0
iteration 64 reward 1293.0
iteration 65 reward 2100.0
iteration 66 reward 921.0
iteration 67 reward 453.0
iteration 68 reward 1515.0
iteration 69 reward 956.0
iteration 70 reward 108.0
iteration 71 reward 395.0
iteration 72 reward 576.0
iteration 73 reward 1168.0
iteration 74 reward 1399.0
iteration 75 reward 578.0
iteration 76 reward 587.0
iteration 77 reward 211.0
iteration 78 reward 1667.0
iteration 79 reward 1516.0
iteration 80 reward 769.0
iteration 81 reward 354.0
iteration 82 reward 691.0
iteration 83 reward 1075.0
iteration 84 reward 340.0
iteration 85 reward 93.0
iteration 86 reward 460.0
iteration 87 reward 1781.0
iteration 88 reward 444.0
iteration 89 reward 450.0
iteration 90 reward 1177.0
iteration 91 reward 341.0
iteration 92 reward 291.0
iteration 93 reward 819.0
iteration 94 reward 1648.0
iteration 95 reward 104.0
iteration 96 reward 358.0
iteration 97 reward 830.0
iteration 98 reward 348.0
iteration 99 reward 354.0
seed 7799 average_reward 721.94 stdev 500.09242785709125
