filename log/doomrnn.cma.16.24.best.json
model size 1088
making real doom environment
2018-07-21 05:31:43.005711: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
model using cpu
input dropout mode = False
output dropout mode = False
recurrent dropout mode = False
GLib-GIO-Message: 05:31:48.115: Using the 'memory' GSettings backend.  Your settings will not be saved or shared with other applications.
loading file log/doomrnn.cma.16.24.best.json
iteration 0 reward 1071.0
iteration 1 reward 825.0
iteration 2 reward 221.0
iteration 3 reward 454.0
iteration 4 reward 584.0
iteration 5 reward 939.0
iteration 6 reward 1541.0
iteration 7 reward 1173.0
iteration 8 reward 566.0
iteration 9 reward 706.0
iteration 10 reward 936.0
iteration 11 reward 947.0
iteration 12 reward 1318.0
iteration 13 reward 839.0
iteration 14 reward 211.0
iteration 15 reward 1641.0
iteration 16 reward 453.0
iteration 17 reward 574.0
iteration 18 reward 231.0
iteration 19 reward 216.0
iteration 20 reward 840.0
iteration 21 reward 460.0
iteration 22 reward 464.0
iteration 23 reward 106.0
iteration 24 reward 471.0
iteration 25 reward 221.0
iteration 26 reward 1061.0
iteration 27 reward 2034.0
iteration 28 reward 111.0
iteration 29 reward 215.0
iteration 30 reward 577.0
iteration 31 reward 2100.0
iteration 32 reward 1643.0
iteration 33 reward 694.0
iteration 34 reward 831.0
iteration 35 reward 688.0
iteration 36 reward 703.0
iteration 37 reward 688.0
iteration 38 reward 1393.0
iteration 39 reward 334.0
iteration 40 reward 564.0
iteration 41 reward 1409.0
iteration 42 reward 354.0
iteration 43 reward 1035.0
iteration 44 reward 1071.0
iteration 45 reward 816.0
iteration 46 reward 814.0
iteration 47 reward 1442.0
iteration 48 reward 858.0
iteration 49 reward 1052.0
iteration 50 reward 98.0
iteration 51 reward 1293.0
iteration 52 reward 849.0
iteration 53 reward 1171.0
iteration 54 reward 467.0
iteration 55 reward 1179.0
iteration 56 reward 1416.0
iteration 57 reward 615.0
iteration 58 reward 107.0
iteration 59 reward 1193.0
iteration 60 reward 213.0
iteration 61 reward 1755.0
iteration 62 reward 2100.0
iteration 63 reward 1198.0
iteration 64 reward 1387.0
iteration 65 reward 219.0
iteration 66 reward 2100.0
iteration 67 reward 100.0
iteration 68 reward 926.0
iteration 69 reward 1280.0
iteration 70 reward 2100.0
iteration 71 reward 576.0
iteration 72 reward 709.0
iteration 73 reward 458.0
iteration 74 reward 347.0
iteration 75 reward 811.0
iteration 76 reward 938.0
iteration 77 reward 1169.0
iteration 78 reward 696.0
iteration 79 reward 1277.0
iteration 80 reward 2062.0
iteration 81 reward 107.0
iteration 82 reward 354.0
iteration 83 reward 346.0
iteration 84 reward 1642.0
iteration 85 reward 816.0
iteration 86 reward 1662.0
iteration 87 reward 797.0
iteration 88 reward 1303.0
iteration 89 reward 1284.0
iteration 90 reward 146.0
iteration 91 reward 1764.0
iteration 92 reward 700.0
iteration 93 reward 471.0
iteration 94 reward 475.0
iteration 95 reward 813.0
iteration 96 reward 813.0
iteration 97 reward 103.0
iteration 98 reward 2100.0
iteration 99 reward 106.0
seed 2328 average_reward 871.06 stdev 551.5205675221913
