filename log/doomrnn.cma.16.24.best.json
model size 1088
making real doom environment
model using cpu
input dropout mode = False
output dropout mode = False
recurrent dropout mode = False
loading file log/doomrnn.cma.16.24.best.json
iteration 0 reward 227.0
iteration 1 reward 1187.0
iteration 2 reward 107.0
iteration 3 reward 462.0
iteration 4 reward 872.0
iteration 5 reward 1070.0
iteration 6 reward 816.0
iteration 7 reward 566.0
iteration 8 reward 838.0
iteration 9 reward 801.0
iteration 10 reward 721.0
iteration 11 reward 595.0
iteration 12 reward 2100.0
iteration 13 reward 223.0
iteration 14 reward 1172.0
iteration 15 reward 104.0
iteration 16 reward 1516.0
iteration 17 reward 700.0
iteration 18 reward 1765.0
iteration 19 reward 1164.0
iteration 20 reward 97.0
iteration 21 reward 1842.0
iteration 22 reward 935.0
iteration 23 reward 946.0
iteration 24 reward 1554.0
iteration 25 reward 93.0
iteration 26 reward 100.0
iteration 27 reward 842.0
iteration 28 reward 330.0
iteration 29 reward 1066.0
iteration 30 reward 1512.0
iteration 31 reward 230.0
iteration 32 reward 577.0
iteration 33 reward 1163.0
iteration 34 reward 347.0
iteration 35 reward 830.0
iteration 36 reward 462.0
iteration 37 reward 1045.0
iteration 38 reward 581.0
iteration 39 reward 350.0
iteration 40 reward 1635.0
iteration 41 reward 2100.0
iteration 42 reward 1091.0
iteration 43 reward 466.0
iteration 44 reward 236.0
iteration 45 reward 1384.0
iteration 46 reward 1770.0
iteration 47 reward 460.0
iteration 48 reward 332.0
iteration 49 reward 93.0
iteration 50 reward 1186.0
iteration 51 reward 958.0
iteration 52 reward 1209.0
iteration 53 reward 351.0
iteration 54 reward 1056.0
iteration 55 reward 465.0
iteration 56 reward 1301.0
iteration 57 reward 687.0
iteration 58 reward 1412.0
iteration 59 reward 589.0
iteration 60 reward 206.0
iteration 61 reward 1513.0
iteration 62 reward 2100.0
iteration 63 reward 580.0
iteration 64 reward 351.0
iteration 65 reward 1193.0
iteration 66 reward 1496.0
iteration 67 reward 220.0
iteration 68 reward 357.0
iteration 69 reward 577.0
iteration 70 reward 697.0
iteration 71 reward 412.0
iteration 72 reward 814.0
iteration 73 reward 1996.0
iteration 74 reward 580.0
iteration 75 reward 736.0
iteration 76 reward 593.0
iteration 77 reward 450.0
iteration 78 reward 208.0
iteration 79 reward 111.0
iteration 80 reward 452.0
iteration 81 reward 952.0
iteration 82 reward 571.0
iteration 83 reward 1389.0
iteration 84 reward 1536.0
iteration 85 reward 584.0
iteration 86 reward 847.0
iteration 87 reward 2100.0
iteration 88 reward 481.0
iteration 89 reward 217.0
iteration 90 reward 1539.0
iteration 91 reward 642.0
iteration 92 reward 1084.0
iteration 93 reward 1063.0
iteration 94 reward 341.0
iteration 95 reward 1056.0
iteration 96 reward 985.0
iteration 97 reward 735.0
iteration 98 reward 342.0
iteration 99 reward 1065.0
seed 4577 average_reward 838.6 stdev 530.2264044726554
