filename log/doomrnn.cma.16.64.best.json
model size 1088
making real doom environment
model using cpu
input dropout mode = False
output dropout mode = False
recurrent dropout mode = False
loading file log/doomrnn.cma.16.64.best.json
iteration 0 reward 780.0
iteration 1 reward 1017.0
iteration 2 reward 787.0
iteration 3 reward 434.0
iteration 4 reward 470.0
iteration 5 reward 604.0
iteration 6 reward 656.0
iteration 7 reward 668.0
iteration 8 reward 535.0
iteration 9 reward 1022.0
iteration 10 reward 325.0
iteration 11 reward 104.0
iteration 12 reward 877.0
iteration 13 reward 553.0
iteration 14 reward 561.0
iteration 15 reward 1558.0
iteration 16 reward 1229.0
iteration 17 reward 1319.0
iteration 18 reward 1356.0
iteration 19 reward 1687.0
iteration 20 reward 776.0
iteration 21 reward 1671.0
iteration 22 reward 2100.0
iteration 23 reward 877.0
iteration 24 reward 432.0
iteration 25 reward 214.0
iteration 26 reward 1724.0
iteration 27 reward 667.0
iteration 28 reward 912.0
iteration 29 reward 334.0
iteration 30 reward 561.0
iteration 31 reward 210.0
iteration 32 reward 898.0
iteration 33 reward 584.0
iteration 34 reward 444.0
iteration 35 reward 1123.0
iteration 36 reward 1014.0
iteration 37 reward 650.0
iteration 38 reward 1116.0
iteration 39 reward 655.0
iteration 40 reward 437.0
iteration 41 reward 1011.0
iteration 42 reward 1317.0
iteration 43 reward 1009.0
iteration 44 reward 656.0
iteration 45 reward 353.0
iteration 46 reward 1032.0
iteration 47 reward 2100.0
iteration 48 reward 877.0
iteration 49 reward 1720.0
iteration 50 reward 1508.0
iteration 51 reward 788.0
iteration 52 reward 199.0
iteration 53 reward 1414.0
iteration 54 reward 212.0
iteration 55 reward 1671.0
iteration 56 reward 921.0
iteration 57 reward 662.0
iteration 58 reward 1841.0
iteration 59 reward 874.0
iteration 60 reward 1530.0
iteration 61 reward 215.0
iteration 62 reward 334.0
iteration 63 reward 1313.0
iteration 64 reward 573.0
iteration 65 reward 314.0
iteration 66 reward 1460.0
iteration 67 reward 434.0
iteration 68 reward 580.0
iteration 69 reward 1571.0
iteration 70 reward 197.0
iteration 71 reward 1224.0
iteration 72 reward 900.0
iteration 73 reward 327.0
iteration 74 reward 984.0
iteration 75 reward 212.0
iteration 76 reward 1556.0
iteration 77 reward 1680.0
iteration 78 reward 332.0
iteration 79 reward 887.0
iteration 80 reward 339.0
iteration 81 reward 201.0
iteration 82 reward 1213.0
iteration 83 reward 331.0
iteration 84 reward 434.0
iteration 85 reward 1114.0
iteration 86 reward 1580.0
iteration 87 reward 1694.0
iteration 88 reward 552.0
iteration 89 reward 557.0
iteration 90 reward 1223.0
iteration 91 reward 890.0
iteration 92 reward 1974.0
iteration 93 reward 781.0
iteration 94 reward 101.0
iteration 95 reward 94.0
iteration 96 reward 1105.0
iteration 97 reward 1014.0
iteration 98 reward 662.0
iteration 99 reward 437.0
seed 2575 average_reward 870.25 stdev 507.82332311543155
