filename log/doomrnn.cma.16.64.best.json
model size 1088
making real doom environment
model using cpu
input dropout mode = False
output dropout mode = False
recurrent dropout mode = False
loading file log/doomrnn.cma.16.64.best.json
iteration 0 reward 544.0
iteration 1 reward 664.0
iteration 2 reward 594.0
iteration 3 reward 1026.0
iteration 4 reward 1098.0
iteration 5 reward 1251.0
iteration 6 reward 434.0
iteration 7 reward 780.0
iteration 8 reward 212.0
iteration 9 reward 662.0
iteration 10 reward 834.0
iteration 11 reward 429.0
iteration 12 reward 325.0
iteration 13 reward 656.0
iteration 14 reward 789.0
iteration 15 reward 541.0
iteration 16 reward 1416.0
iteration 17 reward 1133.0
iteration 18 reward 436.0
iteration 19 reward 1914.0
iteration 20 reward 656.0
iteration 21 reward 1345.0
iteration 22 reward 1006.0
iteration 23 reward 439.0
iteration 24 reward 674.0
iteration 25 reward 204.0
iteration 26 reward 798.0
iteration 27 reward 214.0
iteration 28 reward 983.0
iteration 29 reward 649.0
iteration 30 reward 1103.0
iteration 31 reward 325.0
iteration 32 reward 1106.0
iteration 33 reward 797.0
iteration 34 reward 1264.0
iteration 35 reward 430.0
iteration 36 reward 438.0
iteration 37 reward 209.0
iteration 38 reward 882.0
iteration 39 reward 691.0
iteration 40 reward 994.0
iteration 41 reward 876.0
iteration 42 reward 547.0
iteration 43 reward 336.0
iteration 44 reward 1004.0
iteration 45 reward 808.0
iteration 46 reward 100.0
iteration 47 reward 1554.0
iteration 48 reward 565.0
iteration 49 reward 1679.0
iteration 50 reward 1136.0
iteration 51 reward 647.0
iteration 52 reward 1238.0
iteration 53 reward 799.0
iteration 54 reward 901.0
iteration 55 reward 1022.0
iteration 56 reward 311.0
iteration 57 reward 780.0
iteration 58 reward 1112.0
iteration 59 reward 554.0
iteration 60 reward 993.0
iteration 61 reward 781.0
iteration 62 reward 324.0
iteration 63 reward 210.0
iteration 64 reward 104.0
iteration 65 reward 663.0
iteration 66 reward 697.0
iteration 67 reward 208.0
iteration 68 reward 550.0
iteration 69 reward 329.0
iteration 70 reward 1007.0
iteration 71 reward 783.0
iteration 72 reward 777.0
iteration 73 reward 660.0
iteration 74 reward 874.0
iteration 75 reward 1586.0
iteration 76 reward 433.0
iteration 77 reward 2100.0
iteration 78 reward 1341.0
iteration 79 reward 2100.0
iteration 80 reward 556.0
iteration 81 reward 101.0
iteration 82 reward 777.0
iteration 83 reward 1351.0
iteration 84 reward 772.0
iteration 85 reward 894.0
iteration 86 reward 992.0
iteration 87 reward 1024.0
iteration 88 reward 1354.0
iteration 89 reward 788.0
iteration 90 reward 702.0
iteration 91 reward 329.0
iteration 92 reward 338.0
iteration 93 reward 425.0
iteration 94 reward 441.0
iteration 95 reward 103.0
iteration 96 reward 432.0
iteration 97 reward 1711.0
iteration 98 reward 994.0
iteration 99 reward 2100.0
seed 8730 average_reward 796.18 stdev 449.96551823445316
