filename log/doomrnn.cma.16.64.best.json
model size 1088
making real doom environment
model using cpu
input dropout mode = False
output dropout mode = False
recurrent dropout mode = False
loading file log/doomrnn.cma.16.64.best.json
iteration 0 reward 96.0
iteration 1 reward 988.0
iteration 2 reward 782.0
iteration 3 reward 1119.0
iteration 4 reward 1052.0
iteration 5 reward 888.0
iteration 6 reward 103.0
iteration 7 reward 1847.0
iteration 8 reward 1470.0
iteration 9 reward 433.0
iteration 10 reward 666.0
iteration 11 reward 659.0
iteration 12 reward 428.0
iteration 13 reward 1118.0
iteration 14 reward 1015.0
iteration 15 reward 658.0
iteration 16 reward 1228.0
iteration 17 reward 666.0
iteration 18 reward 1263.0
iteration 19 reward 330.0
iteration 20 reward 659.0
iteration 21 reward 1966.0
iteration 22 reward 571.0
iteration 23 reward 203.0
iteration 24 reward 893.0
iteration 25 reward 221.0
iteration 26 reward 891.0
iteration 27 reward 899.0
iteration 28 reward 317.0
iteration 29 reward 2100.0
iteration 30 reward 1131.0
iteration 31 reward 321.0
iteration 32 reward 1209.0
iteration 33 reward 109.0
iteration 34 reward 429.0
iteration 35 reward 1364.0
iteration 36 reward 1101.0
iteration 37 reward 101.0
iteration 38 reward 1234.0
iteration 39 reward 552.0
iteration 40 reward 2100.0
iteration 41 reward 330.0
iteration 42 reward 2100.0
iteration 43 reward 1371.0
iteration 44 reward 326.0
iteration 45 reward 207.0
iteration 46 reward 1562.0
iteration 47 reward 97.0
iteration 48 reward 659.0
iteration 49 reward 668.0
iteration 50 reward 2100.0
iteration 51 reward 1002.0
iteration 52 reward 216.0
iteration 53 reward 561.0
iteration 54 reward 1347.0
iteration 55 reward 789.0
iteration 56 reward 1686.0
iteration 57 reward 1006.0
iteration 58 reward 1615.0
iteration 59 reward 432.0
iteration 60 reward 656.0
iteration 61 reward 1323.0
iteration 62 reward 553.0
iteration 63 reward 1451.0
iteration 64 reward 102.0
iteration 65 reward 1118.0
iteration 66 reward 660.0
iteration 67 reward 1115.0
iteration 68 reward 665.0
iteration 69 reward 205.0
iteration 70 reward 653.0
iteration 71 reward 576.0
iteration 72 reward 443.0
iteration 73 reward 222.0
iteration 74 reward 792.0
iteration 75 reward 1115.0
iteration 76 reward 1556.0
iteration 77 reward 554.0
iteration 78 reward 444.0
iteration 79 reward 1000.0
iteration 80 reward 1110.0
iteration 81 reward 1259.0
iteration 82 reward 875.0
iteration 83 reward 329.0
iteration 84 reward 552.0
iteration 85 reward 901.0
iteration 86 reward 878.0
iteration 87 reward 336.0
iteration 88 reward 1977.0
iteration 89 reward 816.0
iteration 90 reward 1021.0
iteration 91 reward 916.0
iteration 92 reward 1013.0
iteration 93 reward 334.0
iteration 94 reward 1907.0
iteration 95 reward 457.0
iteration 96 reward 330.0
iteration 97 reward 372.0
iteration 98 reward 770.0
iteration 99 reward 659.0
seed 1453 average_reward 852.69 stdev 521.3532525073571
